,fields.categorieentreprise,fields.etatadministratifunitelegale,fields.geolocetablissement,fields.trancheeffectifsunitelegale,fields.trancheeffectifsunitelegaletriable,fields.siretsiegeunitelegale,fields.siret,fields.etablissementsiege,fields.sectionunitelegale,fields.codepostaletablissement,fields.caractereemployeurunitelegale,fields.datecreationunitelegale,fields.datecreationetablissement,fields.denominationunitelegale,geometry.type,geometry.coordinates
0,PME,Active,"[48.843084, 2.38305]",3 à 5 salariés,02,31939212200036,31939212200036,oui,"Arts, spectacles et activités récréatives",75012.0,Oui,1980-06-04,1994-04-01,CENTRE THEATRE DE L'OPPRIME AUGUSTO BOAL,Point,"[2.38305, 48.843084]"
1,PME,Active,"[48.854959, 2.397993]",6 à 9 salariés,03,78480996400033,78480996400033,oui,Autres activités de services,75020.0,Oui,1900-01-01,2000-02-26,EDUCAT POPUL CHARONNE REUNION,Point,"[2.397993, 48.854959]"
2,,Active,"[48.886052, 2.360784]",,,48880307300011,48880307300011,oui,Autres activités de services,75018.0,Non,2005-12-15,2005-12-15,CANOPY,Point,"[2.360784, 48.886052]"
3,PME,Active,"[48.831203, 2.296779]",1 ou 2 salariés,01,40206283000045,40206283000045,oui,Autres activités de services,75015.0,Oui,1995-01-28,2013-02-02,DROITS DEVANT,Point,"[2.296779, 48.831203]"
4,PME,Active,"[48.895408, 2.321683]",3 à 5 salariés,02,79258420300014,79258420300014,oui,Autres activités de services,75017.0,Oui,2011-09-05,2011-09-05,ASSOCIAITON MAISON DES VOLONTAIRES,Point,"[2.321683, 48.895408]"
5,PME,Active,"[48.85473, 2.356399]",6 à 9 salariés,03,43929038800032,43929038800032,oui,"Arts, spectacles et activités récréatives",75004.0,Oui,2001-09-01,2010-06-17,ASSOC DEVELOPP DE LA DANSE A PARIS,Point,"[2.356399, 48.85473]"
6,,Active,"[45.214141, 5.782504]",,,83479640100018,83479640100018,oui,Autres activités de services,38240.0,Non,2017-06-23,2017-06-23,COOPERATION INTERNATIONALE ET SOLIDARITE LGM,Point,"[5.782504, 45.214141]"
7,PME,Active,"[45.182795, 5.715437]",1 ou 2 salariés,01,52817597900020,52817597900012,non,"Arts, spectacles et activités récréatives",38000.0,Oui,2010-05-28,2010-05-28,LES SONGES TURBULENTS-COMPAGNIE DE CREATION,Point,"[5.715437, 45.182795]"
8,,Active,"[48.823805, 2.333371]",Etablissement non employeur,-1,48226723400011,48226723400011,oui,"Arts, spectacles et activités récréatives",75014.0,Non,1992-07-30,1992-07-30,CLUB CHASSEURS EXPLORA -S MARINS FCE,Point,"[2.333371, 48.823805]"
9,PME,Active,"[48.876685, 2.339944]",3 à 5 salariés,02,47859060700014,47859060700014,oui,Autres activités de services,75009.0,Oui,2002-11-20,2002-11-20,LA VAGUE A L AME,Point,"[2.339944, 48.876685]"
10,PME,Active,"[48.887687, 2.353288]",1 ou 2 salariés,01,75200941500015,75200941500015,oui,"Arts, spectacles et activités récréatives",75018.0,Oui,2012-05-09,2012-05-09,LA BANDE A GODOT,Point,"[2.353288, 48.887687]"
11,,Active,"[48.825682, 2.322133]",,,53753501500011,53753501500011,oui,Autres activités de services,75014.0,Non,2010-12-06,2010-12-06,EUROCITE LE THINK TANK EUROPEEN PROGRESSISTE,Point,"[2.322133, 48.825682]"
