categorieentreprise,geolocetablissement,trancheeffectifsunitelegale,trancheeffectifsunitelegaletriable,siretsiegeunitelegale,siret,etablissementsiege,codepostaletablissement,caractereemployeurunitelegale,datecreationunitelegale,datecreationetablissement,denominationunitelegale,adresseetablissementcomplete
PME,"[48.843084, 2.38305]",3 à 5 salariés,2,31939212200036,31939212200036,1,75012,1,1980-06-04,1994-04-01,CENTRE THEATRE DE L'OPPRIME AUGUSTO BOAL,"78 RUE DU CHAROLAIS, 75012 PARIS 12"
PME,"[48.854959, 2.397993]",6 à 9 salariés,3,78480996400033,78480996400033,1,75020,1,1900-01-01,2000-02-26,EDUCAT POPUL CHARONNE REUNION,"77 RUE ALEXANDRE DUMAS, 75020 PARIS 20"
Non productif,"[48.886052, 2.360784]",Etablissement non employeur,-1,48880307300011,48880307300011,1,75018,0,2005-12-15,2005-12-15,CANOPY,"19 RUE PAJOL, 75018 PARIS 18"
PME,"[48.831203, 2.296779]",1 ou 2 salariés,1,40206283000045,40206283000045,1,75015,1,1995-01-28,2013-02-02,DROITS DEVANT,"47 RUE DE DANTZIG, 75015 PARIS 15"
PME,"[48.895408, 2.321683]",3 à 5 salariés,2,79258420300014,79258420300014,1,75017,1,2011-09-05,2011-09-05,ASSOCIAITON MAISON DES VOLONTAIRES,"64 RUE POUCHET, 75017 PARIS 17"
PME,"[48.85473, 2.356399]",6 à 9 salariés,3,43929038800032,43929038800032,1,75004,1,2001-09-01,2010-06-17,ASSOC DEVELOPP DE LA DANSE A PARIS,"20 RUE GEOFFROY L ASNIER, 75004 PARIS 4"
Non productif,"[45.214141, 5.782504]",Etablissement non employeur,-1,83479640100018,83479640100018,1,38240,0,2017-06-23,2017-06-23,COOPERATION INTERNATIONALE ET SOLIDARITE LGM,"1 AVENUE DU TAILLEFER, 38240 MEYLAN"
PME,"[45.182795, 5.715437]",1 ou 2 salariés,1,52817597900020,52817597900012,0,38000,1,2010-05-28,2010-05-28,LES SONGES TURBULENTS-COMPAGNIE DE CREATION,"8 RUE IRVOY, 38000 GRENOBLE"
Non productif,"[48.823805, 2.333371]",Etablissement non employeur,-1,48226723400011,48226723400011,1,75014,0,1992-07-30,1992-07-30,CLUB CHASSEURS EXPLORA -S MARINS FCE,"47 AVENUE REILLE, 75014 PARIS 14"
PME,"[48.876685, 2.339944]",3 à 5 salariés,2,47859060700014,47859060700014,1,75009,1,2002-11-20,2002-11-20,LA VAGUE A L AME,"54 RUE LAMARTINE, 75009 PARIS 9"
